ID,PRODUTO,CATEGORIA PRODUTO,QTDE,VALOR,DESCONTO,TOTAL,LOJA,VENDEDOR,CLIENTE,SEXO,ESTADO CIVIL,DATA,PERIODO,MES
11043,J,SG,4,263,0.01,1041.48,KPGI,TSHMR,AUSZBS FIZINSUT,f,d,2019-07-24,2019-07,7
11044,V,TH,9,189,0.02,1666.98,OQVL,RJGSH,ZDIXWZ WWWBDCZG,f,c,2019-10-12,2019-10,10
11045,R,JZ,8,279,0.01,2209.68,YXIU,ZYOZY,NKFAIR BICERVUJ,m,c,2019-04-30,2019-04,4
11046,D,TY,4,222,0.01,879.12,ONCI,DWETM,FMGWZN SQOXJXMB,a,-,2019-08-01,2019-08,8
11047,V,BH,6,199,0.03,1158.18,YOWV,MRPZX,XFVAIE FBVOIEKA,f,d,2019-09-15,2019-09,9
11048,D,PB,4,192,0.02,752.64,QLIG,SLHNX,WVAROG VJRVPNFD,-,c,2019-05-09,2019-05,5
11049,R,OD,9,264,0.04,2280.96,SUJN,DMCGB,ZHCUYV KVEAWEIY,a,c,2019-08-10,2019-08,8
11050,V,CI,1,263,0.04,252.48,JCHO,ATZWZ,PIHPZX BVEQPOSI,m,c,2019-08-01,2019-08,8
11051,L,AD,6,265,0.04,1526.4,TOWA,TSWKY,OEFRAN AIOBEGCL,-,d,2019-11-21,2019-11,11
11052,C,FJ,2,246,0.02,482.16,PNER,BEYIW,KOBWDE YDODRPVZ,m,s,2019-01-28,2019-01,1
11053,N,AG,7,163,0.04,1095.36,EQKW,GODYU,KYQLNC TFILYGGH,a,s,2019-08-23,2019-08,8
11054,Y,QQ,4,268,0.01,1061.28,UKZA,UJOBO,EWKULZ ZYGBYAUD,f,c,2019-08-17,2019-08,8
11055,L,ZK,5,181,0.0,905.0,NWUB,QPBHG,RPLWBZ WVEKQVFQ,a,-,2019-03-06,2019-03,3
11056,V,QM,9,180,0.02,1587.6,FCDB,ORARZ,RQGKFV MILQYLYN,m,s,2019-06-22,2019-06,6
11057,B,KV,7,288,0.0,2016.0,DYSY,MNXMO,ZCSWBF RXKRFMMV,m,-,2019-11-17,2019-11,11
11058,E,MA,4,248,0.01,982.08,LBLD,YTMXS,HLTURN BZKAQTXC,f,s,2019-05-26,2019-05,5
11059,Y,XQ,4,159,0.02,623.28,GJWS,YDAOZ,TKIMNF KHELEUMM,-,-,2019-03-09,2019-03,3
11060,D,RZ,4,286,0.03,1109.68,VMEZ,ARXYF,MAWRZL VKPNVHHZ,a,s,2019-04-27,2019-04,4
11061,F,XG,4,170,0.0,680.0,IBYJ,YJSKT,BWEUJG HHFUFMPN,-,c,2019-07-21,2019-07,7
11062,G,MX,5,248,0.01,1227.6,QTWQ,PXGRQ,XWEDFN TJKTNFTW,a,s,2019-11-23,2019-11,11
11063,X,TV,9,257,0.03,2243.61,ZMXL,LTWLA,EQSEAP PUSIFDDK,m,s,2019-04-21,2019-04,4
11064,F,XM,4,152,0.03,589.76,CAEN,NQCLH,LGJWFQ KUPUAAUD,m,d,2019-12-22,2019-12,12
11065,V,XI,1,187,0.0,187.0,ODHZ,KYJCS,VIIOIL KHUUIPGV,a,d,2019-11-30,2019-11,11
11066,Y,MX,5,228,0.0,1140.0,SIXV,EMBJQ,LUIXOY AEOFRJYW,f,c,2019-03-13,2019-03,3
11067,Z,ZB,4,168,0.03,651.84,TPDN,TLSXB,FJUKVQ QZVHSBOK,f,d,2019-07-15,2019-07,7
11068,E,PI,6,211,0.01,1253.34,NNQQ,LXCRK,NWMGBE XQXAUQOT,f,d,2019-04-03,2019-04,4
11069,F,DU,4,184,0.04,706.56,CTBY,YUEXP,QYTQZV SPHJNBXG,m,s,2019-12-07,2019-12,12
11070,I,BJ,4,219,0.0,876.0,EWPA,OEXGZ,JDNZTK KKKZDNYH,f,d,2019-02-13,2019-02,2
11071,Q,WZ,2,192,0.03,372.48,NQEH,KXTVD,ELKISA JFRQLOCA,-,d,2019-10-12,2019-10,10
11072,A,HU,4,183,0.0,732.0,TEEF,ZYXOU,YDFPLZ LOEEBQSZ,m,c,2019-10-19,2019-10,10
11073,F,LJ,4,238,0.04,913.92,OBQM,MFLMZ,ASXTBX RVBKNGFB,m,c,2019-04-16,2019-04,4
11074,U,DI,1,248,0.02,243.04,GEIS,MYMLM,PWGNJR WKLLXPBL,-,c,2019-03-16,2019-03,3
11075,Q,YF,9,224,0.04,1935.36,YPIS,UXVYX,OUXPJN TVAQDWRZ,a,s,2019-09-15,2019-09,9
11076,Y,ML,5,251,0.03,1217.35,OCZA,MOBBL,NAGPGY TFGMCZOJ,a,d,2019-06-13,2019-06,6
11077,V,HN,8,276,0.01,2185.92,QZEE,BNAGZ,LWALCF RBZFOPLK,-,-,2019-05-02,2019-05,5
11078,R,AU,9,284,0.04,2453.76,UIBK,IURTP,LAEDWV TCJEEZXS,a,c,2019-02-03,2019-02,2
11079,H,AO,5,295,0.0,1475.0,SESZ,QYJXX,NBWTGZ DSMZGKHC,m,-,2019-04-14,2019-04,4
11080,E,JR,1,162,0.02,158.76,ZLKF,ZEEPX,AVDQAR UNXJNRAV,f,d,2019-12-28,2019-12,12
11081,T,LY,9,169,0.04,1460.16,EBHS,JJWKM,PSHUYC BFWLNLRZ,-,s,2019-05-14,2019-05,5
11082,K,HI,2,176,0.01,348.48,XCQY,FHZOJ,YONRSL MWZODPZT,m,s,2019-04-24,2019-04,4
11083,F,UY,8,217,0.03,1683.92,NKVP,ESUOG,YQCFNJ CDKKKABB,m,c,2019-09-25,2019-09,9
11084,A,HF,4,277,0.01,1096.92,FFNL,JKVJB,IQGSXY DKUQNJHK,m,-,2019-02-23,2019-02,2
11085,F,IX,2,183,0.02,358.68,ZSVS,ZMYKP,KDARXN JUMUWDAK,m,d,2019-06-29,2019-06,6
11086,T,QS,5,206,0.04,988.8,EOYK,YBBXA,VXJHKB IDHEXANF,f,c,2019-05-19,2019-05,5
11087,V,OK,7,171,0.01,1185.03,FKCX,ONFWG,OXODIU XWYJIXTX,m,s,2019-03-25,2019-03,3
11088,F,ZI,7,174,0.01,1205.82,UUTU,OLBAU,CFAXYX KJNQMMCF,f,c,2019-02-23,2019-02,2
11089,O,FX,5,175,0.01,866.25,LBQP,JIYIA,WDLOYQ MLUGUODT,f,-,2019-12-31,2019-12,12
11090,Q,RK,3,253,0.01,751.41,CUPU,QWGVA,LZIXRL XXJRPCRB,-,-,2019-11-05,2019-11,11
11091,E,GR,1,282,0.04,270.72,XNNF,KQWDX,FYFROZ TIZVJTNV,a,-,2019-01-10,2019-01,1
11092,H,WL,8,175,0.04,1344.0,HRPE,TGUKD,FBYWGM TGRTYFEB,a,c,2019-10-08,2019-10,10
11093,W,DK,5,254,0.03,1231.9,JRMU,WOJVX,NNWMUF HWUJFENN,-,-,2019-10-12,2019-10,10
11094,A,QB,1,183,0.01,181.17,EWIF,WCFCJ,SBOHMP DNFTHMNH,m,s,2019-12-25,2019-12,12
11095,T,ZD,7,288,0.04,1935.36,CFXU,FHEVQ,HYZVUR WFMEOYOX,-,d,2019-04-24,2019-04,4
11096,O,ID,7,272,0.03,1846.88,RYRY,ZZUAK,VRPJED SVWJXFBD,a,d,2019-03-31,2019-03,3
11097,T,NB,7,214,0.01,1483.02,DRQO,GAAGN,PDQBXJ XSVQWEEJ,m,s,2019-11-05,2019-11,11
11098,K,SX,5,219,0.01,1084.05,SRXU,JNTGL,LTEKDE MCXWHSZR,f,s,2019-04-24,2019-04,4
11099,R,FX,2,299,0.01,592.02,BDZZ,BMVGK,HBJXVK GSJANVMY,-,s,2019-04-17,2019-04,4
11100,I,RU,7,180,0.02,1234.8,HPCB,LRJML,TTYFYG EJGTFMTY,f,s,2019-07-11,2019-07,7
11101,X,QI,4,251,0.04,963.84,FSPB,PGTYB,SSKFJM NUUMMKXG,a,c,2019-02-04,2019-02,2
11102,A,ZJ,6,217,0.04,1249.92,QVUC,GXGZY,TJVBCP RDHVHYZV,-,s,2019-09-06,2019-09,9
11103,Y,NM,4,159,0.0,636.0,RNWD,VYDJS,NKQMKQ ZWVCCOBM,f,d,2019-04-30,2019-04,4
11104,P,YY,5,226,0.03,1096.1,KDAP,BDUWF,WXCKHL PCLNFNFQ,a,d,2019-12-29,2019-12,12
11105,E,IA,9,267,0.0,2403.0,QPZU,SDSMS,IPIGNK BBRWFAPQ,m,s,2019-04-12,2019-04,4
11106,Q,IF,9,245,0.04,2116.8,VAVC,VEBLY,NPJMNQ ZACRPHKG,f,s,2019-06-24,2019-06,6
11107,Y,RA,2,251,0.04,481.92,YLMK,KWOHF,IDZWEE KNZFATJO,f,s,2019-04-22,2019-04,4
11108,Y,DN,8,228,0.03,1769.28,VQRN,HXWCB,MQMLGC MDVFZQGW,f,s,2019-08-23,2019-08,8
11109,W,PD,2,253,0.02,495.88,KHXA,LXTFL,BGHWQE WCTZGLTH,f,s,2019-04-23,2019-04,4
11110,J,VV,6,294,0.04,1693.44,HRND,JIIXF,ATWASF EVHXKXRX,m,s,2019-04-10,2019-04,4
11111,P,BL,8,245,0.02,1920.8,NYMU,ZLGJN,CCNDHF RIEORWHF,m,s,2019-05-15,2019-05,5
11112,X,HX,2,153,0.03,296.82,WPPR,MLLOA,EIMPBF FFUITJPY,m,d,2019-09-04,2019-09,9
11113,C,CO,1,157,0.02,153.86,IGDY,CSFWW,AZRBQG HTPNPZNN,m,-,2019-06-27,2019-06,6
11114,Z,AV,5,238,0.0,1190.0,XVIO,SKYSG,BHHLUX TTMNBWEE,m,-,2019-11-07,2019-11,11
11115,D,FM,4,267,0.03,1035.96,DZJQ,DUGHF,RDJSYK THJAMWTX,f,d,2019-10-20,2019-10,10
11116,V,NE,4,173,0.04,664.32,VYOQ,XTHCB,PWPWUH TNTETCVP,m,d,2019-04-19,2019-04,4
11117,T,QS,4,267,0.03,1035.96,NSUK,GIFMF,TVIIIL GBNMFZHL,f,-,2019-12-23,2019-12,12
11118,R,RF,9,204,0.03,1780.92,MTMB,JCRZA,FCLXNV ZWZMVKMG,a,c,2019-03-21,2019-03,3
11119,I,MJ,6,260,0.04,1497.6,ZVPO,GZCPY,UBYVPF HJOABAXA,a,d,2019-08-02,2019-08,8
11120,N,SB,1,208,0.02,203.84,ZSMD,OVIBW,KOIWZF JHJKVGEO,-,s,2019-12-20,2019-12,12
11121,A,ZK,2,297,0.0,594.0,IGHK,LVFJR,MNRHTD IODUSTHL,-,c,2019-08-22,2019-08,8
11122,H,GR,7,286,0.02,1961.96,UBIU,GWBWJ,IHMZBC SOGJIPYS,a,c,2019-11-22,2019-11,11
11123,Q,YK,4,182,0.03,706.16,MLUQ,YVWLE,WITZFL BBXJWBZU,a,c,2019-12-29,2019-12,12
11124,X,BL,5,254,0.04,1219.2,KRLE,CZLLL,FSHZUP DYZJEDGL,a,c,2019-03-14,2019-03,3
11125,F,TH,3,242,0.01,718.74,DLFM,NIGQW,HPADVX HVCLVWFL,a,s,2019-12-16,2019-12,12
11126,Y,GR,2,191,0.04,366.72,NGBG,CNFCU,INNLTC LEBXSJJL,a,d,2019-03-16,2019-03,3
11127,U,BH,4,205,0.0,820.0,PYSO,RQYKT,KDIJVQ NUKGYVGE,m,s,2019-10-25,2019-10,10
11128,B,EU,6,199,0.04,1146.24,CZAR,NFDKP,ZXMFNT RVMFDDTS,a,c,2019-09-15,2019-09,9
11129,J,NK,9,299,0.02,2637.18,YQAI,VLWFV,XXGHLB SBKFTKDP,m,s,2019-07-13,2019-07,7
11130,Z,KV,1,208,0.03,201.76,GPGP,HXBFE,VNZTXM TTLTIHEM,m,d,2019-06-21,2019-06,6
11131,I,PM,8,162,0.04,1244.16,DDVU,BWLPW,HXSVXF OFXVIMGK,-,c,2019-01-13,2019-01,1
11132,Y,WU,8,151,0.02,1183.84,XHVN,DRGRQ,KZOJIZ CTAMJCHG,-,c,2019-01-28,2019-01,1
11133,O,CW,2,260,0.0,520.0,AANC,LJLOI,UWRIFA FDDTBQBP,m,-,2019-10-22,2019-10,10
11134,Z,FG,8,245,0.0,1960.0,YFFK,GCIDD,UMHLLH WDUCALXM,a,c,2019-08-03,2019-08,8
11135,C,TB,6,165,0.01,980.1,QBBD,GLYLR,DIWJEC RSTXEHWO,f,c,2019-01-17,2019-01,1
11136,B,OL,7,274,0.04,1841.28,LOYU,JDAPP,AMPDPB OTWEXMOR,m,d,2019-10-09,2019-10,10
11137,X,RA,6,159,0.0,954.0,RZXW,VOMGZ,CHMAVI DMILSWEA,a,s,2019-05-31,2019-05,5
11138,B,GX,9,197,0.04,1702.08,ARRY,LVZUD,ZDSIBD EREJMPJH,f,-,2019-10-27,2019-10,10
11139,I,FD,5,285,0.02,1396.5,RYFL,ZZNFE,WDYFEM AUTGALGO,-,-,2019-04-12,2019-04,4
11140,G,YV,2,151,0.02,295.96,OFFH,VNION,FXTXEI NQDJPSVK,-,c,2019-04-15,2019-04,4
11141,E,BT,6,287,0.0,1722.0,YRXC,SAIYM,LCZCGU FVHZTWKY,m,d,2019-02-28,2019-02,2
11142,Q,HP,5,180,0.0,900.0,OXZN,HMDNK,TPMBNQ RJSQSFHE,a,s,2019-12-11,2019-12,12
11143,B,NX,7,266,0.03,1806.14,HDAV,KHFSH,JRBZKQ RWFUSXUY,m,-,2019-04-20,2019-04,4
11144,A,EK,3,290,0.0,870.0,EXJC,BYJAX,RUIQYQ ULQRCFXM,a,c,2019-01-12,2019-01,1
11145,J,ES,6,156,0.04,898.56,NJCF,ISOUA,YMFPSB ZOLSEPRK,a,s,2019-12-06,2019-12,12
11146,F,NI,1,223,0.0,223.0,UTLR,MZATW,UIAODV UVZWHAOM,-,c,2019-01-12,2019-01,1
11147,Y,TU,3,168,0.03,488.88,QSCU,NSRCZ,BAOOYN RZMAHGNZ,m,c,2019-02-08,2019-02,2
11148,P,ZT,9,269,0.01,2396.79,AGZK,MAAAG,XVBPJR JLVNNDXZ,-,d,2019-09-14,2019-09,9
11149,Q,YC,8,237,0.04,1820.16,FDJE,OVHSL,PQHTVT REOJCYGE,f,s,2019-08-19,2019-08,8
11150,V,TH,6,168,0.03,977.76,APMN,ZTVZE,VDHRKS OHEJPPQX,m,c,2019-06-23,2019-06,6
11151,L,WT,3,235,0.04,676.8,XNJQ,DDEPQ,ETNCWQ OYKDWHBL,-,-,2019-03-10,2019-03,3
11152,P,NY,7,180,0.02,1234.8,NEYS,PUOPE,UVINNJ JPRHQXNS,m,c,2019-09-30,2019-09,9
11153,D,XR,8,214,0.01,1694.88,YGUS,ZGXDH,KALPMW LZKKEPBP,f,s,2019-06-28,2019-06,6
11154,G,CC,3,168,0.0,504.0,FRDL,YUQRT,UYKEHT VMYDGGSQ,f,d,2019-11-01,2019-11,11
11155,R,IP,1,218,0.0,218.0,EOWY,FKNYS,XSQAAA IOQJYUNU,f,s,2019-11-01,2019-11,11
11156,R,OW,9,282,0.03,2461.86,MFWV,VRPOB,HNDZYT WIUEFNDC,f,c,2019-05-28,2019-05,5
11157,Y,BY,6,209,0.01,1241.46,LMDZ,LTSVB,CHGSSN EXZMNXGU,a,s,2019-11-04,2019-11,11
11158,L,BA,9,294,0.01,2619.54,FCEZ,CFZIF,UHJKGM UTVKQCAW,m,d,2019-12-20,2019-12,12
11159,C,QU,7,295,0.02,2023.7,CINE,NFJHX,QCZJTH JOBJWXXS,a,-,2019-09-23,2019-09,9
11160,V,HD,8,198,0.03,1536.48,XXVI,AJRAN,AQNCXS NUVWSESP,a,d,2019-07-27,2019-07,7
11161,S,KI,3,295,0.0,885.0,KMCV,NIKII,OCFZSB OFPLAPBR,m,s,2019-01-24,2019-01,1
11162,A,UB,8,278,0.02,2179.52,PMMS,MEDHS,WVIOTZ YITXKOZG,-,-,2019-02-17,2019-02,2
11163,M,LA,2,204,0.0,408.0,BNID,GQFJL,DARSOC NPQQXTNB,-,s,2019-08-10,2019-08,8
11164,E,CI,9,258,0.02,2275.56,KZIA,YBCPT,CEKKYI AEMZUVZP,m,d,2019-01-24,2019-01,1
11165,C,XH,2,187,0.0,374.0,SWXU,CBDTX,BQSUTR AMELBWEZ,f,c,2019-10-07,2019-10,10
11166,I,SV,9,242,0.0,2178.0,RYOV,CYCEI,XTSCHO YMUYZUWQ,-,c,2019-11-03,2019-11,11
11167,E,MW,8,274,0.04,2104.32,GDXO,ONYMC,NJHHBD GVCVIMVW,m,s,2019-03-01,2019-03,3
11168,V,UW,1,159,0.02,155.82,GQMA,LEPDI,ZCPYJS ZNOMZBPB,-,-,2019-08-23,2019-08,8
11169,R,JI,8,277,0.02,2171.68,MJBG,LLQZZ,FYQDOM SXRHKZCR,m,s,2019-11-02,2019-11,11
11170,C,ES,4,268,0.02,1050.56,BRYX,TVHST,RGAKED RUKMTVDU,f,s,2019-02-05,2019-02,2
11171,F,GR,2,162,0.0,324.0,JHME,GHAUR,IAONRM QEWOPFAX,f,d,2019-02-20,2019-02,2
11172,V,JL,1,218,0.01,215.82,DZRQ,XSNQG,IARGHQ JUPTOYDD,f,-,2019-07-21,2019-07,7
11173,E,FB,4,219,0.02,858.48,ZPRO,QBDCE,NFNNUJ LWODBHCG,f,c,2019-06-15,2019-06,6
11174,L,KS,4,221,0.01,875.16,QIBU,NIBEM,BIJUTG KURZAYAH,m,-,2019-12-02,2019-12,12
11175,G,RA,1,238,0.02,233.24,BYXK,FFVEN,KFEJRQ FICXCVNL,a,c,2019-12-06,2019-12,12
11176,A,GK,8,257,0.04,1973.76,YDPK,PJBVV,MATZBI XZOFUSSX,a,-,2019-10-28,2019-10,10
11177,N,NF,2,171,0.02,335.16,RWRG,BCQTO,VXLKCQ IPOZJYVA,m,s,2019-11-01,2019-11,11
11178,R,DY,2,150,0.02,294.0,HRYI,ZLDYU,KKCHRV VJWAXPDE,-,d,2019-11-28,2019-11,11
11179,L,BL,1,281,0.03,272.57,ZAWS,SGMQS,KWWDFI OVDJEKPC,a,c,2019-06-28,2019-06,6
11180,J,LF,9,164,0.01,1461.24,YFCW,VULXA,RFLVWO CKFFSZUQ,a,c,2019-08-23,2019-08,8
11181,I,UC,1,280,0.01,277.2,VGJU,MBEZU,TKETFP GCYBMBTH,-,d,2019-11-17,2019-11,11
11182,E,KD,4,234,0.02,917.28,QFOL,YUCGG,BFCRUD UPEGUYAI,f,c,2019-02-27,2019-02,2
11183,Z,GX,6,280,0.01,1663.2,VTRW,UDKCJ,TBGIES TPDRQFTT,f,s,2019-10-25,2019-10,10
11184,X,FT,5,248,0.03,1202.8,DBNJ,XJIHC,AWWFKG EFJNPXUH,m,d,2019-01-30,2019-01,1
11185,O,GO,9,195,0.0,1755.0,KDFJ,EYSFX,OXPIOK JSTPMQDJ,m,s,2019-09-24,2019-09,9
11186,R,RJ,4,254,0.02,995.68,QQNM,ZOGJM,PMMBDR YHZTIHHT,m,s,2019-06-18,2019-06,6
11187,Z,GG,1,260,0.04,249.6,ISDD,MWAMZ,QVDZMG SIMPGRCX,m,d,2019-11-08,2019-11,11
11188,N,GO,5,267,0.04,1281.6,ERML,BYIKO,YQAVGT VQEYKYYU,-,d,2019-06-09,2019-06,6
11189,Q,EA,4,169,0.03,655.72,TJSM,CQXSS,HXEOJP VZEXEIRI,m,s,2019-08-23,2019-08,8
11190,P,JN,2,216,0.01,427.68,ADEI,UESCQ,HKCYDX JMMBMJHD,a,d,2019-09-29,2019-09,9
11191,A,CQ,4,278,0.02,1089.76,JZIC,HILMV,FAYFPU MDOPOFSD,m,s,2019-11-11,2019-11,11
11192,X,UB,3,162,0.03,471.42,TIKB,VPLYF,ZKKIJK XJONCXXV,-,c,2019-03-21,2019-03,3
11193,D,QZ,9,217,0.04,1874.88,QZFU,JJPVG,ERKCTR WHKIUVBC,a,-,2019-02-01,2019-02,2
11194,B,QW,1,250,0.02,245.0,PYVO,OVZJD,YZTIJW UWPRZHLN,a,c,2019-08-02,2019-08,8
11195,B,CW,8,269,0.0,2152.0,MJDW,TWSMI,LMCJQG ENIDRHNH,a,s,2019-05-30,2019-05,5
11196,A,RP,9,218,0.01,1942.38,OFAL,SMOLZ,PVPAGO VJQDLROK,-,s,2019-03-02,2019-03,3
11197,C,IS,6,257,0.01,1526.58,YDGK,NLRPR,VRCBIJ TDSSHOMP,-,c,2019-03-03,2019-03,3
11198,Y,RM,9,213,0.04,1840.32,FISM,SUTUM,IXWRKM IJTJXCGK,f,-,2019-06-14,2019-06,6
11199,Q,KO,6,240,0.03,1396.8,MXSI,CKXSY,JXHXDC YDHZEFEA,a,-,2019-03-24,2019-03,3
11200,S,RO,4,182,0.03,706.16,FJYT,HKMZI,KSXHDE QVVWYRTE,f,-,2019-06-21,2019-06,6
11201,E,SI,9,258,0.03,2252.34,NRBT,ROMRT,MRNVSE SUPUCRYW,a,-,2019-10-24,2019-10,10
11202,X,PL,4,267,0.03,1035.96,HMXK,NCTRD,TTUOLA RFKVHQRZ,a,-,2019-08-03,2019-08,8
11203,B,PU,3,262,0.03,762.42,DAIJ,YZENS,RDULQC LVVPCZZG,a,s,2019-05-21,2019-05,5
11204,J,LV,9,200,0.03,1746.0,GIWM,MDDQZ,NIHDQS JBPBFKUP,-,s,2019-05-15,2019-05,5
11205,K,OS,7,194,0.0,1358.0,JOIU,FCUYF,KYYLSF UTHJTLMX,m,d,2019-05-08,2019-05,5
11206,J,DF,8,221,0.0,1768.0,KHEK,NDBQT,VQGIKU BORKETDK,f,s,2019-10-13,2019-10,10
11207,A,IH,5,211,0.0,1055.0,CYJG,XIHYM,MSDIFH FBWVBBEU,-,d,2019-09-06,2019-09,9
11208,G,FI,3,222,0.03,646.02,OMUV,LIFFM,KSUWDY OGNGXQYN,-,d,2019-07-19,2019-07,7
11209,Q,CO,4,184,0.03,713.92,YNHO,WJWUR,PPOUVZ HXIQPGEX,-,c,2019-07-16,2019-07,7
11210,D,FX,9,285,0.03,2488.05,HOPF,SNDJQ,MFGNHH WEMNEYQK,-,d,2019-10-29,2019-10,10
11211,U,RD,4,236,0.03,915.68,OJSA,EVNQE,FONRPV OOGJYYZL,-,c,2019-02-09,2019-02,2
11212,R,RG,9,237,0.02,2090.34,OLFI,OLNCL,KUXURC KONEGOXQ,f,s,2019-01-28,2019-01,1
11213,T,WD,9,244,0.04,2108.16,SEYW,AGLAS,UBDNVV ILSMSHPT,f,d,2019-03-25,2019-03,3
11214,O,ZY,4,180,0.01,712.8,ZUAF,EXXFX,TTMJSV DTVBBNPQ,-,s,2019-03-19,2019-03,3
11215,E,XF,4,186,0.0,744.0,XPEL,XCWWH,PHNFSR QGLOHEVF,f,s,2019-05-08,2019-05,5
11216,H,AF,6,228,0.04,1313.28,QSSS,TXZFD,HSHEXL UWBYSRHX,-,s,2019-12-19,2019-12,12
11217,F,KV,7,263,0.01,1822.59,FJOH,WJQGW,TWFRBM QOHYOFBG,f,c,2019-01-06,2019-01,1
11218,H,EY,7,247,0.01,1711.71,RHKC,EICGC,RUHXLJ KPDETBOK,-,d,2019-08-22,2019-08,8
11219,R,HA,7,269,0.01,1864.17,EUXH,MMGLU,MRLDLU YVCWLDRF,m,-,2019-05-01,2019-05,5
11220,Y,AU,4,194,0.03,752.72,AXET,ZPRXE,TMFDGU KQNNMNVJ,-,s,2019-08-25,2019-08,8
11221,S,HY,5,178,0.01,881.1,PJIG,LXXEK,ZXLACN AFFNVCUT,f,d,2019-10-26,2019-10,10
11222,L,PZ,8,285,0.04,2188.8,CCBS,CVTZX,ALGKDY WVUXNIOP,f,c,2019-10-13,2019-10,10
11223,F,JF,8,237,0.01,1877.04,UZBC,WGCXC,SFSDRK SJOXHTAC,-,c,2019-11-28,2019-11,11
11224,L,MO,3,179,0.04,515.52,GEXE,WIBEH,LAGFXU YKXVIVTF,m,-,2019-08-31,2019-08,8
11225,H,JU,3,161,0.04,463.68,IKLH,YEWYG,WCVFNM BMITVLME,-,-,2019-03-06,2019-03,3
11226,N,KR,4,228,0.01,902.88,YJSW,OYCUX,SWJKRR OQUUGOWU,f,d,2019-05-30,2019-05,5
11227,S,ZA,6,274,0.04,1578.24,NNMY,FBIVY,BKULAT KCZPLKBE,a,d,2019-06-22,2019-06,6
11228,M,SI,5,163,0.0,815.0,LXWQ,VXAIQ,QJUNRZ GVWLBALP,a,c,2019-10-06,2019-10,10
11229,Q,JD,9,234,0.01,2084.94,ZVAH,CUHNV,IWNNGS QPXXQXTT,a,s,2019-06-19,2019-06,6
11230,Y,UB,6,211,0.0,1266.0,MWDB,HODDK,HJRTZM RNTIHLMC,a,-,2019-03-07,2019-03,3
11231,O,TX,8,157,0.01,1243.44,OEPO,RTTZU,WQYHPX DHGJYQDK,a,c,2019-07-31,2019-07,7
11232,B,EB,3,179,0.03,520.89,KDYB,VBNFV,VUOONX JMQTUSVZ,-,c,2019-07-05,2019-07,7
11233,E,AH,8,173,0.02,1356.32,KDAC,ECYCT,QWHRFA ZJTKLLAK,f,c,2019-03-30,2019-03,3
11234,S,RV,1,237,0.04,227.52,XUZP,ZHLYX,ZKFBKB NFUGYRTO,m,c,2019-12-18,2019-12,12
11235,T,OE,7,181,0.02,1241.66,GCIF,ROEQD,JHGKRD ECFFZCZQ,a,d,2019-08-29,2019-08,8
11236,W,YZ,9,259,0.02,2284.38,SONL,GAIDK,ZPIVDT HSIQNCSJ,f,-,2019-11-16,2019-11,11
11237,M,JA,1,284,0.03,275.48,MUZK,TGDZH,MYTOBH PGZNCXJG,-,c,2019-05-27,2019-05,5
11238,D,NC,1,201,0.04,192.96,PYEP,ODVSA,HWYKZZ EDVLZVDM,f,d,2019-12-23,2019-12,12
11239,V,SM,8,236,0.02,1850.24,RTPM,GGJAT,FDBBIX MACSYARS,f,c,2019-03-13,2019-03,3
11240,D,SI,7,164,0.03,1113.56,GRMM,SNSIO,XYOVVE SFHIGCKX,m,s,2019-10-18,2019-10,10
11241,J,HI,2,188,0.01,372.24,ZFMF,RUMRS,AUYJUU BGPUSETF,a,-,2019-03-06,2019-03,3
11242,Q,WB,2,266,0.0,532.0,KERN,DTFWZ,TGRLDK EUJXJYPL,f,-,2019-05-11,2019-05,5
11243,S,BJ,6,193,0.04,1111.68,PZXV,ATGJB,LHSHIX AXUHWKHH,f,c,2019-03-18,2019-03,3
11244,Y,MX,7,192,0.02,1317.12,XDLB,XLQBN,ANTSGI BLAJGMZP,-,s,2019-08-14,2019-08,8
11245,D,WB,6,178,0.01,1057.32,YRSP,AFLTQ,JIQFVY WRQNEXKA,a,s,2019-10-18,2019-10,10
11246,Z,MU,8,151,0.04,1159.68,GPXH,PVKJL,IPBOOI XQSRNGYX,-,s,2019-03-05,2019-03,3
11247,K,MQ,1,175,0.0,175.0,WWIR,DRMZX,MQAUBK BDYVNYLX,a,d,2019-10-26,2019-10,10
11248,Z,BK,1,150,0.03,145.5,ZWSD,DLNGH,YIHGQU EZPPKFXP,a,-,2019-12-25,2019-12,12
11249,F,BY,8,249,0.02,1952.16,NZVI,TLTNZ,DHZGJD AEJQACTV,-,-,2019-09-22,2019-09,9
11250,N,XN,6,157,0.03,913.74,RWXP,OWQRI,WINXTA RUJFUGKV,f,d,2019-07-12,2019-07,7
11251,Z,HY,9,240,0.02,2116.8,RGWD,THAKW,JPTSEB BQVJRXMG,a,s,2019-12-05,2019-12,12
11252,N,BU,9,153,0.0,1377.0,GSXG,DHUVG,SWRONG RPOCKXGU,-,c,2019-02-26,2019-02,2
11253,G,VG,7,199,0.03,1351.21,LLUX,KSMOW,DYNHNM UTGQXRFV,a,-,2019-07-24,2019-07,7
11254,T,VE,3,198,0.04,570.24,LBOM,OUIUA,GEEQJQ VQMFJXQZ,m,d,2019-08-22,2019-08,8
11255,B,XH,7,295,0.04,1982.4,BBBH,DIUEI,FUUEKH TORISQKR,a,s,2019-07-23,2019-07,7
